bits,range_min,range_max,address,btc_value,hash160_compressed,public_key,private_key,solve_date
142,200000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffff,15MnK2jXPqTMURX4xC3h4mAZxyCcaWWEDD,14.2,2fcea55e6d027a2ba7c7ebe95eedf47766730fe2,,,
143,400000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffff,13N66gCzWWHEZBxhVxG18P8wyjEWF9Yoi1,14.3,19ed3e03d19ddcedd5fa86543be820b3a7951650,,,
144,800000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffff,1NevxKDYuDcCh1ZMMi6ftmWwGrZKC6j7Ux,14.4,ed87120066e244ff5331d5f8625873d7a3acc39c,,,
145,1000000000000000000000000000000000000,1ffffffffffffffffffffffffffffffffffff,19GpszRNUej5yYqxXoLnbZWKew3KdVLkXg,14.5,5abf369388deb8072741b4eb43ef10fa9388a729,03afdda497369e219a2c1c369954a930e4d3740968e5e4352475bcffce3140dae5,,
146,2000000000000000000000000000000000000,3ffffffffffffffffffffffffffffffffffff,1M7ipcdYHey2Y5RZM34MBbpugghmjaV89P,14.6,dca7ebfb78ce21884300f133d89244bc4b1b756f,,,
147,4000000000000000000000000000000000000,7ffffffffffffffffffffffffffffffffffff,18aNhurEAJsw6BAgtANpexk5ob1aGTwSeL,14.7,5318b9d7fcc93873f768725eb68ba2c924bb07ee,,,
148,8000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffff,1FwZXt6EpRT7Fkndzv6K4b4DFoT4trbMrV,14.8,a3e3612e586fd206efb8eee6ccd58318e182829a,,,
149,10000000000000000000000000000000000000,1fffffffffffffffffffffffffffffffffffff,1CXvTzR6qv8wJ7eprzUKeWxyGcHwDYP1i2,14.9,7e827e3b90da24c2a15f7b67e3bbece39955a5d0,,,
150,20000000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffffff,1MUJSJYtGPVGkBCTqGspnxyHahpt5Te8jy,15,e08c4d3bc9cf2b3e2cb88de2bfaa4fe8c7aa3f24,03137807790ea7dc6e97901c2bc87411f45ed74a5629315c4e4b03a0a102250c49,,
151,40000000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffffff,13Q84TNNvgcL3HJiqQPvyBb9m4hxjS3jkV,15.1,1a4fb632f0de0c53a0a31d57f840a19e56c645ee,,,
152,80000000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffffff,1LuUHyrQr8PKSvbcY1v1PiuGuqFjWpDumN,15.2,da56cd815fa2f0d6a4ce6d25ed7b1a01d9f9bc6b,,,
153,100000000000000000000000000000000000000,1ffffffffffffffffffffffffffffffffffffff,18192XpzzdDi2K11QVHR7td2HcPS6Qs5vg,15.3,4ccf94a1b0efd63cddeee0ef5eee5ebe720cfcbf,,,
154,200000000000000000000000000000000000000,3ffffffffffffffffffffffffffffffffffffff,1NgVmsCCJaKLzGyKLFJfVequnFW9ZvnMLN,15.4,edd2e206825fa8949d1304cd82c08d64b222f2eb,,,
155,400000000000000000000000000000000000000,7ffffffffffffffffffffffffffffffffffffff,1AoeP37TmHdFh8uN72fu9AqgtLrUwcv2wJ,15.5,6b8b7830f73c5bf9e8beb9f161ad82b3bde992e4,035cd1854cae45391ca4ec428cc7e6c7d9984424b954209a8eea197b9e364c05f6,,
156,800000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffffff,1FTpAbQa4h8trvhQXjXnmNhqdiGBd1oraE,15.6,9ea3f29aaedf7da10b1488934c50a39e271b0b64,,,
157,1000000000000000000000000000000000000000,1fffffffffffffffffffffffffffffffffffffff,14JHoRAdmJg3XR4RjMDh6Wed6ft6hzbQe9,15.7,242d790e5a168043c76f0539fd894b73ee67b3b3,,,
158,2000000000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffffffff,19z6waranEf8CcP8FqNgdwUe1QRxvUNKBG,15.8,628dacebb0faa7f81670e174ca4c8a95a7e37029,,,
159,4000000000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffffffff,14u4nA5sugaswb6SZgn5av2vuChdMnD9E5,15.9,2ac1295b4e54b3f15bb0a99f84018d2082495645,,,
160,8000000000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffffffff,1NBC8uXJy1GiJ6drkiZa1WuKn51ps7EPTv,16,e84818e1bf7f699aa6e28ef9edfb582099099292,02e0a8b039282faf6fe0fd769cfbc4b6b4cf8758ba68220eac420e32b91ddfa673,,
